id,model_year,model_type,mileage,condition,sale_price,sale_date,source
y00909,1996,911,63000,Fair,100000,2021-06-06,https://bringatrailer.com/listing/1996-porsche-911-carrera-4s-51/
y00910,2021,Cayman,719,Fair,127000,2021-06-06,https://bringatrailer.com/listing/2021-porsche-cayman-gt4-2/
y00911,2005,911,40000,Fair,64997,2021-06-06,https://bringatrailer.com/listing/2005-porsche-911-carrera-s-74/
y00912,2004,911,63000,Fair,45250,2021-06-06,https://bringatrailer.com/listing/2004-porsche-911-carrera-4s-56/
y00913,1967,911,98000,Excellent,307000,2021-06-07,https://bringatrailer.com/listing/1967-porsche-911s-coupe-14/
y00914,1987,911,9600,Fair,121000,2021-06-07,https://bringatrailer.com/listing/1987-porsche-911-carrera-71/
y00915,2018,911,984,Excellent,340000,2021-06-07,https://bringatrailer.com/listing/2018-porsche-911-turbo-s-exclusive-series/
y00916,1978,911,129000,Fair,64350,2021-06-07,https://bringatrailer.com/listing/1978-porsche-911sc-3-0-17/
y00917,1972,914,59000,Fair,15000,2021-06-07,https://bringatrailer.com/listing/1972-porsche-914-2-0-5/
y00918,2018,911,3000,Fair,243000,2021-06-08,https://bringatrailer.com/listing/2018-porsche-gt3-60/
y00919,2011,911,71000,Fair,27819,2021-06-08,https://bringatrailer.com/listing/2011-porsche-cayenne-6-speed-4/
y00920,2003,911,49000,Fair,51500,2021-06-08,https://bringatrailer.com/listing/2003-porsche-911-turbo-88/
y00921,2004,911,111000,Fair,12250,2021-06-09,https://bringatrailer.com/listing/2004-porsche-cayenne-turbo-15/
y00922,1975,914,7000,Fair,35000,2021-06-09,https://bringatrailer.com/listing/1975-porsche-914-30/
y00923,2001,911,17000,Fair,68000,2021-06-09,https://bringatrailer.com/listing/2001-porsche-996-twin-turbo-2/
y00924,1965,356,95000,Fair,91500,2021-06-09,https://bringatrailer.com/listing/1965-porsche-356c-coupe-28/
y00925,1985,911,315000,Fair,37000,2021-06-10,https://bringatrailer.com/listing/1985-porsche-911-carrera-72/
y00926,1999,911,49000,Fair,33500,2021-06-10,https://bringatrailer.com/listing/1999-porsche-911-52/
y00927,1981,928,50000,Fair,27000,2021-06-10,https://bringatrailer.com/listing/1981-porsche-928-28/
y00928,2019,911,8000,Fair,207500,2021-06-10,https://bringatrailer.com/listing/2019-porsche-gt3-rs-3/
y00929,2002,Boxster,27000,Fair,21250,2021-06-10,https://bringatrailer.com/listing/2002-porsche-boxster-12/
y00930,1984,911,136000,Fair,50000,2021-06-11,https://bringatrailer.com/listing/1984-porsche-911-carrera-72/
y00931,1962,356,31000,Fair,82000,2021-06-11,https://bringatrailer.com/listing/1962-porsche-356b-23/
y00932,2001,911,101000,Fair,39999,2021-06-11,https://bringatrailer.com/listing/2001-porsche-911-turbo-134/
y00933,1987,911,93000,Fair,51000,2021-06-11,https://bringatrailer.com/listing/1987-porsche-911-carrera-73/
y00934,2010,Boxster,75000,Fair,31987,2021-06-11,https://bringatrailer.com/listing/2010-porsche-boxster-s-2/
y00935,2000,Boxster,87000,Fair,11550,2021-06-11,https://bringatrailer.com/listing/2000-porsche-boxster-s-49/
y00936,1963,356,88000,Fair,120000,2021-06-11,https://bringatrailer.com/listing/1963-porsche-356-3/
y00937,1976,912,157000,Fair,40500,2021-06-11,https://bringatrailer.com/listing/1976-porsche-912e-35/
y00938,2005,911,50000,Fair,40300,2021-06-12,https://bringatrailer.com/listing/2005-porsche-911-carrera-67/
y00939,1997,Boxster,14000,Fair,20000,2021-06-12,https://bringatrailer.com/listing/1997-porsche-boxster-38/
y00940,2008,911,12000,Fair,138000,2021-06-12,https://bringatrailer.com/listing/2008-porsche-911-turbo-28/
y00941,1994,968,100000,Fair,12000,2021-06-12,https://bringatrailer.com/listing/1994-porsche-968-cabriolet-25/
y00942,2007,911,22000,Fair,190000,2021-06-13,https://bringatrailer.com/listing/2007-porsche-gt3-rs-32/
y00943,2003,911,53000,Fair,26250,2021-06-13,https://bringatrailer.com/listing/2003-porsche-911-carrera-52/
y00944,1975,911,78000,Fair,42250,2021-06-13,https://bringatrailer.com/listing/1975-porsche-911s-targa/
y00945,1997,911,56000,Fair,133000,2021-06-14,https://bringatrailer.com/listing/1997-porsche-911-carrera-4s-31/
y00946,2008,911,35000,Fair,72500,2021-06-14,https://bringatrailer.com/listing/2008-porsche-911-targa-4s-11/
y00947,1979,911,75000,Fair,57250,2021-06-14,https://bringatrailer.com/listing/1979-porsche-911sc-47/
y00948,2007,911,39000,Fair,64000,2021-06-14,https://bringatrailer.com/listing/2007-porsche-911-carrera-s-cabriolet-4/
y00949,1975,911,54000,Fair,50000,2021-06-14,https://bringatrailer.com/listing/1975-porsche-911s-43/
y00950,1982,911,62000,Fair,44982,2021-06-14,https://bringatrailer.com/listing/1982-porsche-911sc-101/
y00951,2008,911,20000,Fair,48000,2021-06-14,https://bringatrailer.com/listing/2008-porsche-911-carrera-16/
y00952,1955,356,27000,Excellent,225000,2021-06-15,https://bringatrailer.com/listing/1955-porsche-356-speedster-6/
y00953,1969,911,87000,Fair,75000,2021-06-15,https://bringatrailer.com/listing/1969-porsche-911t-28/
y00954,1992,911,82000,Fair,80800,2021-06-15,https://bringatrailer.com/listing/1992-porsche-america-roadster-11/
y00955,2006,Boxster,27000,Fair,28250,2021-06-15,https://bringatrailer.com/listing/2006-porsche-boxster-s-12/
y00956,2009,911,105000,Fair,45000,2021-06-15,https://bringatrailer.com/listing/2009-porsche-911-carrera-s-18/
y00957,1995,911,85000,Fair,58000,2021-06-15,https://bringatrailer.com/listing/1995-porsche-911-carrera-cabriolet-54-2/
y00958,2009,Boxster,48000,Fair,36750,2021-06-15,https://bringatrailer.com/listing/2009-porsche-boxster-3/
y00959,1988,944,58000,Fair,32944,2021-06-15,https://bringatrailer.com/listing/1988-porsche-944-turbo-33/
y00960,2016,911,25000,Fair,62405,2021-06-15,https://bringatrailer.com/listing/2016-porsche-911-carrera-7/
y00961,2000,Boxster,4400,Fair,25250,2021-06-15,https://bringatrailer.com/listing/2000-porsche-boxster-41/
y00962,2017,911,15000,Fair,161000,2021-06-16,https://bringatrailer.com/listing/2017-porsche-911-turbo-s-coupe-9/
y00963,1973,911,41000,Fair,93000,2021-06-16,https://bringatrailer.com/listing/1973-porsche-911t-69/
y00964,1992,968,76000,Fair,22500,2021-06-16,https://bringatrailer.com/listing/1992-porsche-968-cabriolet-18/
y00965,2003,911,102000,Fair,49500,2021-06-16,https://bringatrailer.com/listing/2003-porsche-911-turbo-84-2/
y00966,1972,911,19000,Fair,107000,2021-06-17,https://bringatrailer.com/listing/1972-porsche-911e-7/
y00967,2019,911,3300,Fair,235000,2021-06-17,https://bringatrailer.com/listing/2019-porsche-gt3-rs-weissach-18/
y00968,2001,Boxster,33000,Fair,28750,2021-06-17,https://bringatrailer.com/listing/2001-porsche-boxster-s-63/
y00969,2011,Boxster,18000,Fair,65000,2021-06-17,https://bringatrailer.com/listing/2011-porsche-boxster-spyder-45/
y00970,1983,928,75000,Fair,44500,2021-06-17,https://bringatrailer.com/listing/1983-porsche-928s-37/
y00971,2019,911,1800,Fair,357000,2021-06-17,https://bringatrailer.com/listing/2019-porsche-911-speedster-8/
y00972,1987,911,110000,Fair,130000,2021-06-18,https://bringatrailer.com/listing/1987-porsche-930-turbo-3/
y00973,2007,911,16000,Fair,53000,2021-06-18,https://bringatrailer.com/listing/2007-porsche-911-carrera-s-56/
y00974,2002,911,79000,Fair,37250,2021-06-18,https://bringatrailer.com/listing/2002-porsche-911-cabriolet-17/
y00975,2010,911,6400,Fair,83000,2021-06-18,https://bringatrailer.com/listing/2010-porsche-911-carrera-4s-7/
y00976,1980,928,142000,Fair,14250,2021-06-18,https://bringatrailer.com/listing/1980-porsche-928-15/
y00977,1999,911,38000,Fair,52996,2021-06-18,https://bringatrailer.com/listing/1999-porsche-911-carrera-204/
y00978,2008,Boxster,51000,Fair,42000,2021-06-18,https://bringatrailer.com/listing/2008-porsche-boxster-s-23/
y00979,2010,911,17000,Fair,135000,2021-06-19,https://bringatrailer.com/listing/2010-porsche-911-turbo-cabriolet-8/
y00980,1986,944,89000,Fair,25000,2021-06-19,https://bringatrailer.com/listing/1986-porsche-944-turbo-176/
y00981,1990,944,59000,Fair,14500,2021-06-20,https://bringatrailer.com/listing/1990-porsche-944-s2-cabriolet-61/
y00982,2002,911,48000,Fair,29500,2021-06-20,https://bringatrailer.com/listing/2002-porsche-911-carrera-75/
y00983,2019,911,5000,Fair,216000,2021-06-20,https://bringatrailer.com/listing/2019-porsche-911-gt3-touring-2/
y00984,2001,911,63000,Fair,57501,2021-06-20,https://bringatrailer.com/listing/2001-porsche-911-turbo-137/
y00985,1976,911,143000,Fair,88888,2021-06-21,https://bringatrailer.com/listing/1976-porsche-911s-34/
y00986,1996,911,87000,Fair,63000,2021-06-21,https://bringatrailer.com/listing/1996-porsche-911-carrera-57/
y00987,1993,911,73000,Fair,90000,2021-06-21,https://bringatrailer.com/listing/1993-porsche-911-carrera-8/
y00988,2001,Boxster,13000,Fair,20500,2021-06-21,https://bringatrailer.com/listing/2001-porsche-boxster/
y00989,1978,924,22000,Fair,7600,2021-06-21,https://bringatrailer.com/listing/1978-porsche-924-9/
