id,model_year,model_type,mileage,condition,price_now,price_3_years_ago,appreciated,image_paths,seller_description,source
p00019,1962,962,25,Fair,20000,19000,yes,"[""project/data/images/p00019_image_1.jpg"", ""project/data/images/p00019_image_10.jpg"", ""project/data/images/p00019_image_11.jpg"", ""project/data/images/p00019_image_12.jpg"", ""project/data/images/p00019_image_2.jpg"", ""project/data/images/p00019_image_3.jpg"", ""project/data/images/p00019_image_4.jpg"", ""project/data/images/p00019_image_5.jpg"", ""project/data/images/p00019_image_6.jpg"", ""project/data/images/p00019_image_7.jpg"", ""project/data/images/p00019_image_8.jpg"", ""project/data/images/p00019_image_9.jpg""]",project/data/descriptions/p00019_seller_description.txt,https://bringatrailer.com/listing/1962-porsche-porsche-diesel-super-329-tractor/
p00020,1976,912,3000,Fair,125912,33500,yes,"[""project/data/images/p00020_image_1.jpg"", ""project/data/images/p00020_image_10.jpg"", ""project/data/images/p00020_image_11.jpg"", ""project/data/images/p00020_image_12.jpg"", ""project/data/images/p00020_image_2.jpg"", ""project/data/images/p00020_image_3.jpg"", ""project/data/images/p00020_image_4.jpg"", ""project/data/images/p00020_image_5.jpg"", ""project/data/images/p00020_image_6.jpg"", ""project/data/images/p00020_image_7.jpg"", ""project/data/images/p00020_image_8.jpg"", ""project/data/images/p00020_image_9.jpg""]",project/data/descriptions/p00020_seller_description.txt,https://bringatrailer.com/listing/1976-porsche-912e-81/
p00021,1964,356,16000,Fair,76356,116000,no,"[""project/data/images/p00021_image_1.jpg"", ""project/data/images/p00021_image_10.jpg"", ""project/data/images/p00021_image_11.jpg"", ""project/data/images/p00021_image_12.jpg"", ""project/data/images/p00021_image_2.jpg"", ""project/data/images/p00021_image_3.jpg"", ""project/data/images/p00021_image_4.jpg"", ""project/data/images/p00021_image_5.jpg"", ""project/data/images/p00021_image_6.jpg"", ""project/data/images/p00021_image_7.jpg"", ""project/data/images/p00021_image_8.jpg"", ""project/data/images/p00021_image_9.jpg""]",project/data/descriptions/p00021_seller_description.txt,https://bringatrailer.com/listing/1964-porsche-356c-138/
p00022,1989,944,47000,Fair,61500,41750,yes,"[""project/data/images/p00022_image_1.jpg"", ""project/data/images/p00022_image_10.jpg"", ""project/data/images/p00022_image_11.jpg"", ""project/data/images/p00022_image_12.jpg"", ""project/data/images/p00022_image_2.jpg"", ""project/data/images/p00022_image_3.jpg"", ""project/data/images/p00022_image_4.jpg"", ""project/data/images/p00022_image_5.jpg"", ""project/data/images/p00022_image_6.jpg"", ""project/data/images/p00022_image_7.jpg"", ""project/data/images/p00022_image_8.jpg"", ""project/data/images/p00022_image_9.jpg""]",project/data/descriptions/p00022_seller_description.txt,https://bringatrailer.com/listing/1989-porsche-944-turbo-58/
p00023,2023,Cayman,1500,Fair,83500,146600,no,"[""project/data/images/p00023_image_1.jpg"", ""project/data/images/p00023_image_10.jpg"", ""project/data/images/p00023_image_11.jpg"", ""project/data/images/p00023_image_12.jpg"", ""project/data/images/p00023_image_2.jpg"", ""project/data/images/p00023_image_3.jpg"", ""project/data/images/p00023_image_4.jpg"", ""project/data/images/p00023_image_5.jpg"", ""project/data/images/p00023_image_6.jpg"", ""project/data/images/p00023_image_7.jpg"", ""project/data/images/p00023_image_8.jpg"", ""project/data/images/p00023_image_9.jpg""]",project/data/descriptions/p00023_seller_description.txt,https://bringatrailer.com/listing/2023-porsche-718-cayman-gts-4-0-12/
p00024,2015,918,1600,Excellent,2610000,1551000,yes,"[""project/data/images/p00024_image_1.jpg"", ""project/data/images/p00024_image_10.jpg"", ""project/data/images/p00024_image_11.jpg"", ""project/data/images/p00024_image_12.jpg"", ""project/data/images/p00024_image_2.jpg"", ""project/data/images/p00024_image_3.jpg"", ""project/data/images/p00024_image_4.jpg"", ""project/data/images/p00024_image_5.jpg"", ""project/data/images/p00024_image_6.jpg"", ""project/data/images/p00024_image_7.jpg"", ""project/data/images/p00024_image_8.jpg"", ""project/data/images/p00024_image_9.jpg""]",project/data/descriptions/p00024_seller_description.txt,https://bringatrailer.com/listing/2015-porsche-918-spyder-18/
p00025,2021,911,28000,Fair,53000,164000,no,"[""project/data/images/p00025_image_1.jpg"", ""project/data/images/p00025_image_10.jpg"", ""project/data/images/p00025_image_11.jpg"", ""project/data/images/p00025_image_12.jpg"", ""project/data/images/p00025_image_2.jpg"", ""project/data/images/p00025_image_3.jpg"", ""project/data/images/p00025_image_4.jpg"", ""project/data/images/p00025_image_5.jpg"", ""project/data/images/p00025_image_6.jpg"", ""project/data/images/p00025_image_7.jpg"", ""project/data/images/p00025_image_8.jpg"", ""project/data/images/p00025_image_9.jpg""]",project/data/descriptions/p00025_seller_description.txt,https://bringatrailer.com/listing/2021-porsche-cayenne-6/
p00026,,911,25,Fair,19750,,yes,,project/data/descriptions/p00026_seller_description.txt,https://bringatrailer.com/listing/porsche-911-15/
p00027,1997,911,29000,Fair,262000,236000,yes,"[""project/data/images/p00027_image_1.jpg"", ""project/data/images/p00027_image_10.jpg"", ""project/data/images/p00027_image_11.jpg"", ""project/data/images/p00027_image_12.jpg"", ""project/data/images/p00027_image_2.jpg"", ""project/data/images/p00027_image_3.jpg"", ""project/data/images/p00027_image_4.jpg"", ""project/data/images/p00027_image_5.jpg"", ""project/data/images/p00027_image_6.jpg"", ""project/data/images/p00027_image_7.jpg"", ""project/data/images/p00027_image_8.jpg"", ""project/data/images/p00027_image_9.jpg""]",project/data/descriptions/p00027_seller_description.txt,https://bringatrailer.com/listing/1997-porsche-911-turbo-98/
p00028,2019,911,24000,Fair,146000,151500,no,"[""project/data/images/p00028_image_1.jpg"", ""project/data/images/p00028_image_10.jpg"", ""project/data/images/p00028_image_11.jpg"", ""project/data/images/p00028_image_12.jpg"", ""project/data/images/p00028_image_2.jpg"", ""project/data/images/p00028_image_3.jpg"", ""project/data/images/p00028_image_4.jpg"", ""project/data/images/p00028_image_5.jpg"", ""project/data/images/p00028_image_6.jpg"", ""project/data/images/p00028_image_7.jpg"", ""project/data/images/p00028_image_8.jpg"", ""project/data/images/p00028_image_9.jpg""]",project/data/descriptions/p00028_seller_description.txt,https://bringatrailer.com/listing/2019-porsche-911-turbo-s-cabriolet-25/
p00029,2008,911,24000,Fair,261997,91500,yes,"[""project/data/images/p00029_image_1.jpg"", ""project/data/images/p00029_image_10.jpg"", ""project/data/images/p00029_image_11.jpg"", ""project/data/images/p00029_image_12.jpg"", ""project/data/images/p00029_image_2.jpg"", ""project/data/images/p00029_image_3.jpg"", ""project/data/images/p00029_image_4.jpg"", ""project/data/images/p00029_image_5.jpg"", ""project/data/images/p00029_image_6.jpg"", ""project/data/images/p00029_image_7.jpg"", ""project/data/images/p00029_image_8.jpg"", ""project/data/images/p00029_image_9.jpg""]",project/data/descriptions/p00029_seller_description.txt,https://bringatrailer.com/listing/2008-porsche-911-gt2-35/
p00030,2022,911,5000,Fair,291003,176000,yes,"[""project/data/images/p00030_image_1.jpg"", ""project/data/images/p00030_image_10.jpg"", ""project/data/images/p00030_image_11.jpg"", ""project/data/images/p00030_image_12.jpg"", ""project/data/images/p00030_image_2.jpg"", ""project/data/images/p00030_image_3.jpg"", ""project/data/images/p00030_image_4.jpg"", ""project/data/images/p00030_image_5.jpg"", ""project/data/images/p00030_image_6.jpg"", ""project/data/images/p00030_image_7.jpg"", ""project/data/images/p00030_image_8.jpg"", ""project/data/images/p00030_image_9.jpg""]",project/data/descriptions/p00030_seller_description.txt,https://bringatrailer.com/listing/2022-porsche-911-gt3-touring-134/
p00031,2008,Boxster,51000,Fair,24000,42000,no,"[""project/data/images/p00031_image_1.jpg"", ""project/data/images/p00031_image_10.jpg"", ""project/data/images/p00031_image_11.jpg"", ""project/data/images/p00031_image_12.jpg"", ""project/data/images/p00031_image_2.jpg"", ""project/data/images/p00031_image_3.jpg"", ""project/data/images/p00031_image_4.jpg"", ""project/data/images/p00031_image_5.jpg"", ""project/data/images/p00031_image_6.jpg"", ""project/data/images/p00031_image_7.jpg"", ""project/data/images/p00031_image_8.jpg"", ""project/data/images/p00031_image_9.jpg""]",project/data/descriptions/p00031_seller_description.txt,https://bringatrailer.com/listing/2008-porsche-boxster-52/
p00032,2021,911,2600,Fair,95000,166000,no,"[""project/data/images/p00032_image_1.jpg"", ""project/data/images/p00032_image_10.jpg"", ""project/data/images/p00032_image_11.jpg"", ""project/data/images/p00032_image_12.jpg"", ""project/data/images/p00032_image_2.jpg"", ""project/data/images/p00032_image_3.jpg"", ""project/data/images/p00032_image_4.jpg"", ""project/data/images/p00032_image_5.jpg"", ""project/data/images/p00032_image_6.jpg"", ""project/data/images/p00032_image_7.jpg"", ""project/data/images/p00032_image_8.jpg"", ""project/data/images/p00032_image_9.jpg""]",project/data/descriptions/p00032_seller_description.txt,https://bringatrailer.com/listing/2021-porsche-taycan-turbo-s-8/
p00033,2001,Boxster,81000,Fair,9100,16500,no,"[""project/data/images/p00033_image_1.jpg"", ""project/data/images/p00033_image_10.jpg"", ""project/data/images/p00033_image_11.jpg"", ""project/data/images/p00033_image_12.jpg"", ""project/data/images/p00033_image_2.jpg"", ""project/data/images/p00033_image_3.jpg"", ""project/data/images/p00033_image_4.jpg"", ""project/data/images/p00033_image_5.jpg"", ""project/data/images/p00033_image_6.jpg"", ""project/data/images/p00033_image_7.jpg"", ""project/data/images/p00033_image_8.jpg"", ""project/data/images/p00033_image_9.jpg""]",project/data/descriptions/p00033_seller_description.txt,https://bringatrailer.com/listing/2001-porsche-boxster-81/
p00034,1993,911,47000,Fair,111000,135000,no,"[""project/data/images/p00034_image_1.jpg"", ""project/data/images/p00034_image_10.jpg"", ""project/data/images/p00034_image_11.jpg"", ""project/data/images/p00034_image_12.jpg"", ""project/data/images/p00034_image_2.jpg"", ""project/data/images/p00034_image_3.jpg"", ""project/data/images/p00034_image_4.jpg"", ""project/data/images/p00034_image_5.jpg"", ""project/data/images/p00034_image_6.jpg"", ""project/data/images/p00034_image_7.jpg"", ""project/data/images/p00034_image_8.jpg"", ""project/data/images/p00034_image_9.jpg""]",project/data/descriptions/p00034_seller_description.txt,https://bringatrailer.com/listing/1993-porsche-911-america-roadster-3/
p00035,2008,911,14000,Fair,255000,103000,yes,"[""project/data/images/p00035_image_1.jpg"", ""project/data/images/p00035_image_10.jpg"", ""project/data/images/p00035_image_11.jpg"", ""project/data/images/p00035_image_12.jpg"", ""project/data/images/p00035_image_2.jpg"", ""project/data/images/p00035_image_3.jpg"", ""project/data/images/p00035_image_4.jpg"", ""project/data/images/p00035_image_5.jpg"", ""project/data/images/p00035_image_6.jpg"", ""project/data/images/p00035_image_7.jpg"", ""project/data/images/p00035_image_8.jpg"", ""project/data/images/p00035_image_9.jpg""]",project/data/descriptions/p00035_seller_description.txt,https://bringatrailer.com/listing/2008-porsche-911-gt2-30/
p00036,2009,911,134000,Fair,13000,29777,no,"[""project/data/images/p00036_image_1.jpg"", ""project/data/images/p00036_image_10.jpg"", ""project/data/images/p00036_image_11.jpg"", ""project/data/images/p00036_image_12.jpg"", ""project/data/images/p00036_image_2.jpg"", ""project/data/images/p00036_image_3.jpg"", ""project/data/images/p00036_image_4.jpg"", ""project/data/images/p00036_image_5.jpg"", ""project/data/images/p00036_image_6.jpg"", ""project/data/images/p00036_image_7.jpg"", ""project/data/images/p00036_image_8.jpg"", ""project/data/images/p00036_image_9.jpg""]",project/data/descriptions/p00036_seller_description.txt,https://bringatrailer.com/listing/2009-porsche-cayenne-gts-127/
p00037,1969,911,2,Fair,41000,12161,yes,"[""project/data/images/p00037_image_1.jpg"", ""project/data/images/p00037_image_10.jpg"", ""project/data/images/p00037_image_11.jpg"", ""project/data/images/p00037_image_12.jpg"", ""project/data/images/p00037_image_2.jpg"", ""project/data/images/p00037_image_3.jpg"", ""project/data/images/p00037_image_4.jpg"", ""project/data/images/p00037_image_5.jpg"", ""project/data/images/p00037_image_6.jpg"", ""project/data/images/p00037_image_7.jpg"", ""project/data/images/p00037_image_8.jpg"", ""project/data/images/p00037_image_9.jpg""]",project/data/descriptions/p00037_seller_description.txt,https://bringatrailer.com/listing/1969-porsche-911t-coupe-14/
p00038,2015,911,71000,Fair,45250,85500,no,"[""project/data/images/p00038_image_1.jpg"", ""project/data/images/p00038_image_10.jpg"", ""project/data/images/p00038_image_11.jpg"", ""project/data/images/p00038_image_12.jpg"", ""project/data/images/p00038_image_2.jpg"", ""project/data/images/p00038_image_3.jpg"", ""project/data/images/p00038_image_4.jpg"", ""project/data/images/p00038_image_5.jpg"", ""project/data/images/p00038_image_6.jpg"", ""project/data/images/p00038_image_7.jpg"", ""project/data/images/p00038_image_8.jpg"", ""project/data/images/p00038_image_9.jpg""]",project/data/descriptions/p00038_seller_description.txt,https://bringatrailer.com/listing/2015-porsche-panamera-turbo-s-9/
p00039,2022,911,12000,Fair,265000,161000,yes,"[""project/data/images/p00039_image_1.jpg"", ""project/data/images/p00039_image_10.jpg"", ""project/data/images/p00039_image_11.jpg"", ""project/data/images/p00039_image_12.jpg"", ""project/data/images/p00039_image_2.jpg"", ""project/data/images/p00039_image_3.jpg"", ""project/data/images/p00039_image_4.jpg"", ""project/data/images/p00039_image_5.jpg"", ""project/data/images/p00039_image_6.jpg"", ""project/data/images/p00039_image_7.jpg"", ""project/data/images/p00039_image_8.jpg"", ""project/data/images/p00039_image_9.jpg""]",project/data/descriptions/p00039_seller_description.txt,https://bringatrailer.com/listing/2022-porsche-911-gt3-118/
p00040,1969,912,74000,Fair,71912,70550,yes,"[""project/data/images/p00040_image_1.jpg"", ""project/data/images/p00040_image_10.jpg"", ""project/data/images/p00040_image_11.jpg"", ""project/data/images/p00040_image_12.jpg"", ""project/data/images/p00040_image_2.jpg"", ""project/data/images/p00040_image_3.jpg"", ""project/data/images/p00040_image_4.jpg"", ""project/data/images/p00040_image_5.jpg"", ""project/data/images/p00040_image_6.jpg"", ""project/data/images/p00040_image_7.jpg"", ""project/data/images/p00040_image_8.jpg"", ""project/data/images/p00040_image_9.jpg""]",project/data/descriptions/p00040_seller_description.txt,https://bringatrailer.com/listing/1969-porsche-912-coupe-29/
p00041,1999,911,72000,Fair,56000,30500,yes,"[""project/data/images/p00041_image_1.jpg"", ""project/data/images/p00041_image_10.jpg"", ""project/data/images/p00041_image_11.jpg"", ""project/data/images/p00041_image_12.jpg"", ""project/data/images/p00041_image_2.jpg"", ""project/data/images/p00041_image_3.jpg"", ""project/data/images/p00041_image_4.jpg"", ""project/data/images/p00041_image_5.jpg"", ""project/data/images/p00041_image_6.jpg"", ""project/data/images/p00041_image_7.jpg"", ""project/data/images/p00041_image_8.jpg"", ""project/data/images/p00041_image_9.jpg""]",project/data/descriptions/p00041_seller_description.txt,https://bringatrailer.com/listing/1999-porsche-911-carrera-coupe-173/
p00042,2014,911,45000,Fair,81500,85000,no,"[""project/data/images/p00042_image_1.jpg"", ""project/data/images/p00042_image_10.jpg"", ""project/data/images/p00042_image_11.jpg"", ""project/data/images/p00042_image_12.jpg"", ""project/data/images/p00042_image_2.jpg"", ""project/data/images/p00042_image_3.jpg"", ""project/data/images/p00042_image_4.jpg"", ""project/data/images/p00042_image_5.jpg"", ""project/data/images/p00042_image_6.jpg"", ""project/data/images/p00042_image_7.jpg"", ""project/data/images/p00042_image_8.jpg"", ""project/data/images/p00042_image_9.jpg""]",project/data/descriptions/p00042_seller_description.txt,https://bringatrailer.com/listing/2014-porsche-911-turbo-coupe-8/
p00043,2008,911,26000,Fair,81000,91500,no,"[""project/data/images/p00043_image_1.jpg"", ""project/data/images/p00043_image_10.jpg"", ""project/data/images/p00043_image_11.jpg"", ""project/data/images/p00043_image_12.jpg"", ""project/data/images/p00043_image_2.jpg"", ""project/data/images/p00043_image_3.jpg"", ""project/data/images/p00043_image_4.jpg"", ""project/data/images/p00043_image_5.jpg"", ""project/data/images/p00043_image_6.jpg"", ""project/data/images/p00043_image_7.jpg"", ""project/data/images/p00043_image_8.jpg"", ""project/data/images/p00043_image_9.jpg""]",project/data/descriptions/p00043_seller_description.txt,https://bringatrailer.com/listing/2008-porsche-911-turbo-cabriolet-158/
